epoch,iter,loss_cons,loss_det_A,loss_det_B,num_pairs,dim_diff,angle_diff
7,160,0.192187,16.1677,17.6048,19,0.035505,0.156683
7,168,0.192144,12.9467,13.3619,29,0.030912,0.161232
7,176,0.236044,17.8317,16.2899,34,0.035459,0.200585
7,184,0.163842,11.6794,11.3719,9,0.045414,0.118428
7,192,0.178754,11.9423,11.7354,28,0.03456,0.144194
7,200,0.223689,14.5192,15.4524,18,0.034474,0.189215
7,208,0.210554,18.096,16.7933,19,0.030683,0.179872
7,216,0.204657,17.3373,17.0317,21,0.029806,0.17485
7,224,0.236392,16.8958,16.0963,24,0.035551,0.200841
7,232,0.244654,16.9399,16.9266,37,0.046933,0.197721
7,240,0.201359,14.8589,14.8752,39,0.041792,0.159567
7,248,0.221008,15.8996,15.8438,26,0.033315,0.187694
7,256,0.143171,11.5837,11.1139,9,0.034706,0.108465
7,264,0.207336,20.4354,19.3199,13,0.028769,0.178566
7,272,0.180139,13.7637,13.925,19,0.044988,0.135151
7,280,0.196863,14.847,14.8858,17,0.047486,0.149377
7,288,0.215763,18.7628,17.1499,26,0.042104,0.173659
7,296,0.204506,17.1093,18.5612,10,0.032951,0.171555
7,304,0.168699,13.9166,15.438,20,0.033251,0.135448
7,312,0.231174,13.7284,16.9025,21,0.036928,0.194247
7,320,0.223891,16.2686,17.3579,19,0.042822,0.181069
